a, 633, 1819, 1000, 1152, 1030
c, 635, 173, 292, 436, 188
b, 628, 65, 315, 188, 75
e, 195, 1231, 645, 1356, 1417
d, 383, 90, 361, 307, 457
g, 399, 62, 304, 327, 136
f, 360, 23, 111, 122, 80
i, 128, 984, 845, 953, 348
h, 263, 546, 138, 174, 413
k, 197, 65, 183, 242, 328
j, 113, 13, 40, 31, 1
m, 401, 153, 408, 303, 233
l, 321, 600, 640, 563, 589
o, 174, 1351, 775, 582, 395
n, 207, 391, 783, 619, 726
q, 57, 14, 22, 1, 1
p, 505, 200, 268, 238, 174
s, 1131, 113, 417, 528, 521
r, 395, 805, 989, 591, 728
u, 246, 880, 544, 507, 94
t, 584, 245, 518, 556, 733
w, 274, 135, 162, 91, 60
v, 134, 46, 174, 154, 6
y, 67, 160, 145, 95, 1369
x, 15, 39, 67, 15, 96
z, 52, 27, 84, 99, 32
